大久保東小学校 けやき1組,埼玉県さいたま市桜区大字大久保領家331
上大久保保育園,埼玉県さいたま市桜区大字上大久保940-3
浦和西体育館,埼玉県さいたま市桜区大字下大久保1676-1
大久保中学校 武道場,埼玉県さいたま市桜区大字五関282
桜区役所 1階地域活動コーナー,埼玉県さいたま市桜区道場4-3-1
栄和小学校 1年4組教室,埼玉県さいたま市桜区栄和1-7-1
上大久保中学校 体育館,埼玉県さいたま市桜区大字上大久保861-1
栄和公民館,埼玉県さいたま市桜区道場2-11-27
新開小学校 体育館,埼玉県さいたま市桜区新開2-18-1
神田小学校 オレンジルーム,埼玉県さいたま市桜区大字神田541-1
白鍬保育園,埼玉県さいたま市桜区大字白鍬511
田島公民館,埼玉県さいたま市桜区田島3-27-6
土合公民館,埼玉県さいたま市桜区西堀4-2-35
田島小学校 なかよしルーム,埼玉県さいたま市桜区田島10-12-1
中島小学校 1年3組教室,埼玉県さいたま市桜区中島1-28-1
土合小学校 体育館,埼玉県さいたま市桜区西堀7-21-1
土合公民館,埼玉県さいたま市桜区西堀4-2-35
